# f01-plain-trades - Plain trades, one death per clash, push forward on both sides
covers: plain trades, simultaneous clash, hurt popup, single faint, push forward
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/9/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/9/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/9/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
006 attack	Pig attacks Cow for 4.
007 attack	Cow attacks Pig for 3.
008 death	Cow fainted.
009 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
010 attack	Pig attacks Otter for 4.
