# f02-snipe-crocodile - Crocodile start-of-battle snipe at the last enemy
covers: snipe / ranged, start of battle trigger, long range source to target
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Crocodile.png" class="log-pet-icon" alt="Crocodile">(8/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Crocodile.png" class="log-pet-icon" alt="Crocodile">(8/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) 
004 attack	Crocodile sniped Worm for 8.
005 death	Worm fainted.
006 board	Phase 3: After Start of Battle
007 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Crocodile.png" class="log-pet-icon" alt="Crocodile">(8/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
008 attack	Crocodile attacks Cow for 8.
009 attack	Cow attacks Crocodile for 3.
010 death	Cow fainted.
011 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Crocodile.png" class="log-pet-icon" alt="Crocodile">(8/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
012 attack	Crocodile attacks Otter for 8.
013 attack	Otter attacks Crocodile for 2.
014 death	Otter fainted.
015 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Crocodile.png" class="log-pet-icon" alt="Crocodile">(8/1/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
016 board	Player is the winner
