# f04-summon-sheep - Sheep faint summons two Rams, Horse reacts to each summon
covers: summon, double summon staging, friend-summoned trigger badge
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P2 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Sheep.png" class="log-pet-icon" alt="Sheep">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P2 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Sheep.png" class="log-pet-icon" alt="Sheep">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P2 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Sheep.png" class="log-pet-icon" alt="Sheep">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
006 attack	Sheep attacks Cow for 2.
007 attack	Cow attacks Sheep for 4.
008 death	Sheep fainted.
009 ability	Sheep spawned Ram (2/2).
010 ability	Sheep spawned Ram (2/2).
011 ability	Horse gave Ram 1 attack
012 board	___ (-/-) P4 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P3 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) P2 <img src="assets/art/Public/Public/Pets/Ram.png" class="log-pet-icon" alt="Ram">(3/2/0xp) P1 <img src="assets/art/Public/Public/Pets/Ram.png" class="log-pet-icon" alt="Ram">(3/2/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/7/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
013 attack	Ram attacks Cow for 3.
