# f05-transform-caterpillar - Caterpillar transforms into a Butterfly at start of battle
covers: transform, stat copy staging
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) P1 <img src="assets/art/Public/Public/Pets/Caterpillar.png" class="log-pet-icon" alt="Caterpillar">(1/1/5xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/10/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) P1 <img src="assets/art/Public/Public/Pets/Caterpillar.png" class="log-pet-icon" alt="Caterpillar">(1/1/5xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/10/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 ability	Caterpillar transformed into a Butterfly.
005 ability	Butterfly copied stats from the strongest enemy (6/10).
006 board	Phase 3: After Start of Battle
007 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) P1 <img src="assets/art/Public/Public/Pets/Butterfly.png" class="log-pet-icon" alt="Butterfly">(6/10/5xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/10/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
008 attack	Butterfly attacks Otter for 6.
009 attack	Otter attacks Butterfly for 2.
010 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) P1 <img src="assets/art/Public/Public/Pets/Butterfly.png" class="log-pet-icon" alt="Butterfly">(6/8/5xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/2/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/10/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
011 attack	Butterfly attacks Otter for 6.
012 attack	Otter attacks Butterfly for 2.
013 death	Otter fainted.
014 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) P1 <img src="assets/art/Public/Public/Pets/Butterfly.png" class="log-pet-icon" alt="Butterfly">(6/6/5xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/10/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
015 attack	Butterfly attacks Cow for 6.
016 attack	Cow attacks Butterfly for 6.
017 death	Butterfly fainted.
018 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/13/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
019 attack	Pig attacks Cow for 3.
020 attack	Cow attacks Pig for 6.
021 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(6/1/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
022 attack	Pig attacks Cow for 3.
023 attack	Cow attacks Pig for 6.
024 death	Cow fainted.
025 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/1/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
026 board	Player is the winner
