# f06-snipe-dolphin - Dolphin snipes the lowest health enemy from the back row
covers: snipe / ranged, back-row source, mid-board target, jump or projectile arc
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) 
004 attack	Dolphin sniped Otter for 4.
005 death	Otter fainted.
006 board	Phase 3: After Start of Battle
007 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/9/0xp) ___ (-/-) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) 
008 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
009 attack	Pig attacks Cow for 3.
010 attack	Cow attacks Pig for 5.
011 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/5/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
012 attack	Pig attacks Cow for 3.
013 attack	Cow attacks Pig for 5.
014 death	Pig fainted.
015 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/11/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/3/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
016 attack	Duck attacks Cow for 2.
017 attack	Cow attacks Duck for 5.
018 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/1/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
019 attack	Duck attacks Cow for 2.
020 attack	Cow attacks Duck for 5.
021 death	Cow fainted.
022 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(2/1/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
023 attack	Duck attacks Worm for 2.
024 attack	Worm attacks Duck for 1.
025 death	Duck fainted.
026 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Dolphin.png" class="log-pet-icon" alt="Dolphin">(4/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/6/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
027 attack	Dolphin attacks Worm for 4.
