# f08-equipment-melon-peanut - Melon absorbs a big hit, Peanut knocks out on any damage
covers: equipment, melon shield break, peanut instant knockout, equipment icon on pet
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig"><img src="assets/art/Public/Public/Food/Melon.png" class="log-inline-icon" alt="Melon" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Melon.png';return;}this.remove()">(3/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig"><img src="assets/art/Public/Public/Food/Melon.png" class="log-inline-icon" alt="Melon" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Melon.png';return;}this.remove()">(3/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig"><img src="assets/art/Public/Public/Food/Melon.png" class="log-inline-icon" alt="Melon" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Melon.png';return;}this.remove()">(3/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
006 attack	Pig attacks Cow for 3.
007 attack	Cow attacks Pig for 0. (Melon -20)
008 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/6/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/7/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
009 attack	Pig attacks Cow for 3.
010 attack	Cow attacks Pig for 8.
