# f09-toy-pogo-stick - Pogo Stick toy pushes the last enemy to the front
covers: toy, toy start-of-battle trigger, move event
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) 
004 ability	Player's Pogo Stick activated at start of battle
005 ability	Pogo Stick pushed Worm forward and gave +1/+4.
006 board	Phase 3: After Start of Battle
007 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(2/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/8/0xp) O3 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) 
008 attack	Pig attacks Worm for 4.
009 attack	Worm attacks Pig for 2.
010 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(2/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/8/0xp) O3 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) 
011 attack	Pig attacks Worm for 4.
012 attack	Worm attacks Pig for 2.
013 death	Worm fainted.
