# f10-hurt-knockout - Peacock hurt trigger, Gorilla coconut, Hippo knock-out trigger
covers: hurt trigger, knock out trigger, equipment gained mid battle, stat change popup
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Peacock.png" class="log-pet-icon" alt="Peacock">(2/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(6/16/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Peacock.png" class="log-pet-icon" alt="Peacock">(2/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(6/16/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Peacock.png" class="log-pet-icon" alt="Peacock">(2/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(6/16/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
006 attack	Peacock attacks Hippo for 2.
007 attack	Hippo attacks Peacock for 6.
008 ability	Peacock gave Peacock 3 attack.
009 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Peacock.png" class="log-pet-icon" alt="Peacock">(5/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(6/14/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
010 attack	Peacock attacks Hippo for 5.
