# f11-jump-african-wild-dog - African Wild Dog jump-attacks the enemy second slot at start of battle
covers: jump attack, start of battle trigger, attack over an intervening pet
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) P1 <img src="assets/art/Public/Public/Pets/AfricanWildDog.png" class="log-pet-icon" alt="African Wild Dog">(3/9/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) P1 <img src="assets/art/Public/Public/Pets/AfricanWildDog.png" class="log-pet-icon" alt="African Wild Dog">(3/9/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
004 attack	African Wild Dog jump-attacks Otter for 3.
005 attack	Otter attacks African Wild Dog for 2.
006 board	Phase 3: After Start of Battle
007 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) P1 <img src="assets/art/Public/Public/Pets/AfricanWildDog.png" class="log-pet-icon" alt="African Wild Dog">(3/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
008 attack	African Wild Dog attacks Cow for 3.
009 attack	Cow attacks African Wild Dog for 3.
010 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) P1 <img src="assets/art/Public/Public/Pets/AfricanWildDog.png" class="log-pet-icon" alt="African Wild Dog">(3/4/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/7/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
011 attack	African Wild Dog attacks Cow for 3.
012 attack	Cow attacks African Wild Dog for 3.
013 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) P1 <img src="assets/art/Public/Public/Pets/AfricanWildDog.png" class="log-pet-icon" alt="African Wild Dog">(3/1/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
014 attack	African Wild Dog attacks Cow for 3.
015 attack	Cow attacks African Wild Dog for 3.
016 death	African Wild Dog fainted.
017 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/1/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) 
018 attack	Pig attacks Cow for 3.
019 attack	Cow attacks Pig for 3.
020 death	Cow fainted.
021 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/11/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/3/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
022 attack	Pig attacks Otter for 3.
023 attack	Otter attacks Pig for 2.
024 death	Otter fainted.
025 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/9/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
026 attack	Pig attacks Worm for 3.
027 attack	Worm attacks Pig for 1.
028 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/6/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
029 attack	Pig attacks Worm for 3.
030 attack	Worm attacks Pig for 1.
031 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/3/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
032 attack	Pig attacks Worm for 3.
033 attack	Worm attacks Pig for 1.
034 death	Worm fainted.
035 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/6/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
036 board	Player is the winner
