# f12-trumpets-groundhog - Groundhog faint grants a trumpet
covers: trumpets, faint trigger with no pet target
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P1 <img src="assets/art/Public/Public/Pets/Groundhog.png" class="log-pet-icon" alt="Groundhog">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P1 <img src="assets/art/Public/Public/Pets/Groundhog.png" class="log-pet-icon" alt="Groundhog">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P1 <img src="assets/art/Public/Public/Pets/Groundhog.png" class="log-pet-icon" alt="Groundhog">(2/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/10/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
006 attack	Groundhog attacks Cow for 2.
007 attack	Cow attacks Groundhog for 5.
008 death	Groundhog fainted.
009 trumpets	Groundhog gained 1 trumpets. (1)
010 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
011 attack	Duck attacks Cow for 4.
012 attack	Cow attacks Duck for 5.
013 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/15/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(5/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
014 attack	Duck attacks Cow for 4.
015 attack	Cow attacks Duck for 5.
016 death	Cow fainted.
017 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
018 attack	Duck attacks Otter for 4.
019 attack	Otter attacks Duck for 2.
020 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
021 attack	Duck attacks Otter for 4.
022 attack	Otter attacks Duck for 2.
023 death	Otter fainted.
024 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/6/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
025 board	Player is the winner
