# f13-mana-alchemedes - Alchemedes gives the friend ahead 3 mana at start of battle
covers: mana change, stat change popup that is not attack or health
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/14/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
004 ability	Alchemedes gave Pig 3 mana.
005 board	Phase 3: After Start of Battle
006 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/14/0xp/3mana) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
007 attack	Pig attacks Cow for 4.
008 attack	Cow attacks Pig for 3.
009 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/11/0xp/3mana) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/5/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
010 attack	Pig attacks Cow for 4.
011 attack	Cow attacks Pig for 3.
012 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/8/0xp/3mana) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/1/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
013 attack	Pig attacks Cow for 4.
014 attack	Cow attacks Pig for 3.
015 death	Cow fainted.
016 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/5/0xp/3mana) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
017 attack	Pig attacks Otter for 4.
018 attack	Otter attacks Pig for 2.
019 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/3/0xp/3mana) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
020 attack	Pig attacks Otter for 4.
021 attack	Otter attacks Pig for 2.
022 death	Otter fainted.
023 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/AlchemistBug.png" class="log-pet-icon" alt="Alchemedes">(2/9/5xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/1/0xp/3mana) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
024 board	Player is the winner
