# f15-trumpet-spend-nyala-nurseshark - Nyala banks trumpets in battle, Nurse Shark spends them
covers: trumpets spent, trumpets gained, snipe paid for by trumpets
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) P4 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P3 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P2 <img src="assets/art/Public/Public/Pets/NurseShark.png" class="log-pet-icon" alt="Nurse Shark">(5/7/0xp) P1 <img src="assets/art/Public/Public/Pets/Nyala.png" class="log-pet-icon" alt="Nyala">(3/4/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/30/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) P4 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P3 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P2 <img src="assets/art/Public/Public/Pets/NurseShark.png" class="log-pet-icon" alt="Nurse Shark">(5/7/0xp) P1 <img src="assets/art/Public/Public/Pets/Nyala.png" class="log-pet-icon" alt="Nyala">(3/4/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/30/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
004 board	Phase 3: After Start of Battle
005 board	___ (-/-) P4 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P3 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P2 <img src="assets/art/Public/Public/Pets/NurseShark.png" class="log-pet-icon" alt="Nurse Shark">(5/7/0xp) P1 <img src="assets/art/Public/Public/Pets/Nyala.png" class="log-pet-icon" alt="Nyala">(3/4/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/30/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
006 attack	Nyala attacks Cow for 3.
007 attack	Cow attacks Nyala for 8.
008 death	Nyala fainted.
009 trumpets	Nyala gained 8 trumpets. (8)
010 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) P1 <img src="assets/art/Public/Public/Pets/NurseShark.png" class="log-pet-icon" alt="Nurse Shark">(5/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/27/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
011 attack	Nurse Shark attacks Cow for 5.
012 attack	Cow attacks Nurse Shark for 8.
013 death	Nurse Shark fainted.
014 trumpets	Nurse Shark spent 6 trumpets. (2)
015 attack	Nurse Shark sniped Cow for 18.
016 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/20/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
017 attack	Duck attacks Cow for 4.
018 attack	Cow attacks Duck for 8.
019 death	Cow fainted.
020 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/16/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(4/12/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
021 board	Player is the winner
