# f16-move-chihuahua - Chihuahua pushes the healthiest enemy one space forward
covers: move, reposition by a pet ability, start of battle trigger
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
001 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/20/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) O3 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/16/0xp) ___ (-/-) ___ (-/-) 
002 board	Phase 2: Start of battle
003 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/20/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) O3 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/16/0xp) ___ (-/-) ___ (-/-) 
004 ability	Chihuahua pushed Cow forward 1 space(s).
005 board	Phase 3: After Start of Battle
006 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/20/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/6/0xp) O2 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/16/0xp) O3 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) 
007 attack	Pig attacks Otter for 9.
008 attack	Otter attacks Pig for 2.
009 death	Otter fainted.
010 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/18/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/16/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
011 attack	Pig attacks Cow for 9.
012 attack	Cow attacks Pig for 3.
013 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/15/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/7/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
014 attack	Pig attacks Cow for 9.
015 attack	Cow attacks Pig for 3.
016 death	Cow fainted.
017 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
018 attack	Pig attacks Worm for 9.
019 attack	Worm attacks Pig for 1.
020 death	Worm fainted.
021 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Chihuahua.png" class="log-pet-icon" alt="Chihuahua">(4/5/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(9/11/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
022 board	Player is the winner
